Date,Open,High,Low,Close,Adj Close,Volume,5D_Price,Day_Before_Price,Direction,Yesterday,count,bb_bbm,bb_bbh,bb_bbl,rsi,bb_bbhi,bb_bbli,bb_bbw,polarity,Tpolarity
2015-03-19,4424.790039,4440.009765999999,4419.839844,4426.819824,4426.819824,1674970000,4382.819824,4422.5,0,0,0,4424.659912,4428.979736,4420.340088,0,0.0,0.0,0.19526128949637353,0.08805645743145742,0.1942619047619048
2015-03-20,4468.290039,4478.680176,4456.410156,4458.540039,4458.540039,2825670000,4333.689941,4426.819824,0,0,0,4435.953287666667,4468.089921868904,4403.816653464431,0,0.0,0.0,1.4489167093614994,0.1390819964349376,0.2290212765957447
2015-03-23,4454.149902,4466.339844,4445.52002,4445.540039,4445.540039,1608880000,4311.259765999999,4458.540039,0,0,0,4438.3499755,4467.39307785205,4409.306873147951,0,0.0,0.0,1.3087342148487395,0.10694214876033058,0.11638750000000002
2015-03-24,4444.390136999999,4467.790039,4430.970215,4430.990234000001,4430.990234000001,1611670000,4316.009765999999,4445.540039,0,0,0,4436.8780272,4463.51385915906,4410.24219524094,-1,0.0,0.0,1.2006564884484385,0.16064123376623377,0.3029888888888889
2015-03-25,4437.379883,4442.540039,4329.290039,4329.290039,4329.290039,2219520000,4350.97998,4430.990234000001,1,-1,-1,4418.946695833333,4502.743329686272,4335.150061980395,-1,0.0,1.0,3.7926066830338216,0.008613574772111355,0.19964166666666672
2015-03-26,4288.160156,4340.160156,4280.950195,4315.259765999999,4315.259765999999,2004960000,4344.080078,4329.290039,1,0,-2,4404.134277285714,4510.36297661821,4297.905577953218,-1,0.0,0.0,4.824044529267405,0.12692134254634257,0.05089230769230769
2015-03-27,4314.600098,4342.930176,4309.52002,4332.859863000001,4332.859863000001,1678650000,4375.959961,4315.259765999999,1,0,1,4395.2249755,4505.209010360927,4285.240940639073,0,0.0,0.0,5.004705582717757,0.14278198653198657,0.09080789473684213
2015-03-30,4359.779785,4384.180176,4359.779785,4382.819824,4382.819824,1778520000,4403.950195,4332.859863000001,1,1,2,4393.846625333334,4497.833301808265,4289.859948858402,0,0.0,0.0,4.7332865865358915,0.06079545454545454,0.057472500000000024
2015-03-31,4364.140136999999,4377.359863000001,4333.689941,4333.689941,4333.689941,1837660000,4422.02002,4382.819824,1,-1,-1,4387.830956899999,4492.8770591459415,4282.784854654057,1,0.0,0.0,4.788065140966926,0.1771123222016079,0.22498409090909086
2015-04-01,4328.169922,4334.560059,4284.060059,4311.259765999999,4311.259765999999,1874960000,4409.209961,4333.689941,1,0,-2,4380.869939545454,4490.27634268164,4271.463536409268,0,0.0,0.0,4.994734134816043,0.10566201227965932,0.2073666666666667
2015-04-02,4316.240234000001,4327.790039,4302.490234000001,4316.009765999999,4316.009765999999,1563670000,4397.640136999999,4311.259765999999,1,0,1,4375.464925083333,4486.179445082761,4264.750405083904,0,0.0,0.0,5.060697406793623,0.11688131313131311,0.16194545454545453
2015-04-06,4286.160156,4361.560059,4283.910156,4350.97998,4350.97998,1737560000,4424.529785,4316.009765999999,1,0,2,4373.581467769231,4480.749934720092,4266.413000818369,0,0.0,0.0,4.900718906947591,0.00618872549019608,0.07611799999999999
2015-04-07,4349.299805,4379.410156,4343.740234000001,4344.080078,4344.080078,1572940000,4418.830078,4350.97998,1,0,-1,4371.474225642857,4475.85632102865,4267.092130257064,0,0.0,0.0,4.775601547573709,0.03766714766714766,0.2521326086956522
2015-04-08,4345.22998,4382.819824,4345.089844,4375.959961,4375.959961,1714210000,4351.799805,4344.080078,0,0,1,4371.773274666667,4472.640787503213,4270.905761830121,0,0.0,0.0,4.614489658969634,0.10836489898989898,0.17910645161290326
2015-04-09,4375.779785,4405.649902,4361.22998,4403.950195,4403.950195,1729750000,4417.399902,4375.959961,1,0,2,4373.7843321875,4472.6833986155625,4274.885265759437,0,0.0,0.0,4.522356792960546,0.0338059163059163,0.11329777777777775
2015-04-10,4402.02002,4422.629883,4394.379883,4422.02002,4422.02002,244120000,4435.97998,4403.950195,1,0,3,4376.621725588235,4475.216462731917,4278.026988444552,0,0.0,0.0,4.505517877738488,0.1296031746031746,0.2176088235294118
2015-04-13,4428.129883,4448.200195,4407.069824,4409.209961,4409.209961,1544190000,4460.810059,4422.02002,1,0,-1,4378.432183111111,4475.405160778007,4281.4592054442155,0,0.0,0.0,4.429575410163874,0.0645952380952381,0.103596
2015-04-14,4409.290039,4418.870117,4375.109863000001,4397.640136999999,4397.640136999999,1571360000,4477.069824,4409.209961,1,0,-2,4379.4431280526305,4474.218696854217,4284.667559251044,0,0.0,0.0,4.328201829794276,0.07180134680134681,0.06470975609756098
2015-04-15,4409.740234000001,4435.279785,4406.040039,4424.529785,4424.529785,1795530000,4536.779785,4397.640136999999,1,0,1,4381.6974609,4476.140678126925,4287.254243673075,0,0.0,0.0,4.310805027945799,0.15195143398268396,0.2049675
